oai:ecommons.cornell.edu:1813/14478,US Breast Cancer Mortality Maps 1970-94 - articles and maps,"1970-94 US Breast Cancer NCI Morality Maps. These articles and four national maps of breast cancer mortality in white and black females (for two age ranges) were developed by BCERF based on data from National Cancer Institute (NCI). In 1999 the NCI released their Atlas of Cancer Mortality in the United States, 1950-94. These maps are based on this data and the interactive NCI web site that was available in 2002.",,,Map
oai:ecommons.cornell.edu:1813/14483,Incidence of Breast Cancer NY State Map 1990-1994,"1990-1994 Breast Cancer Incidence Map. This color-coded map of New York State breast cancer incidence rates by county was created using data from the New York State Department of Health's Cancer Registry. Maps show age-adjusted rates of breast cancer (the number of people who develop breast cancer per 100,000 individuals). Maps and cancer rate statistics can be valuable tools for spotting trends or anomalies across classifications such as geography or time.",NY State Map 1990-1994 Incidence of Breast Cancer by County,,Map
oai:ecommons.cornell.edu:1813/14484,Incidence of Breast Cancer NY State Map 2002-2006,"2002-2006 Breast Cancer Incidence Map and Table. This color-coded map and table of New York State breast cancer incidence rates by county was created using data from the New York State Department of Health's Cancer Registry. Maps show age-adjusted rates of breast cancer (the number of people who develop breast cancer per 100,000 individuals). Maps and cancer rate statistics can be valuable tools for spotting trends or anomalies across classifications such as geography or time.",NY State Map 2002-2006 Incidence of Breast Cancer by County,,Map
oai:ecommons.cornell.edu:1813/14485,Mortality from Breast Cancer NY State Map 1995-1999,"1995-1999 Breast Cancer Mortality Map. This color-coded map of New York State breast cancer mortality rates by county was created using data from the New York State Department of Health's Cancer Registry. Maps show age-adjusted mortality rates of breast cancer (the number of people who die from breast cancer per 100,000 individuals). Maps and cancer rate statistics can be valuable tools for spotting trends or anomalies across classifications such as geography or time.",NY State Map 1995-1999 Mortality from Breast Cancer by County,,Map
oai:ecommons.cornell.edu:1813/14486,Mortality from Breast Cancer NY State Map 2000-2004,"2000-2004 Breast Cancer Mortality Map. This color-coded map of New York State breast cancer mortality rates by county was created using data from the New York State Department of Health's Cancer Registry. Maps show age-adjusted mortality rates of breast cancer (the number of people who die from breast cancer per 100,000 individuals). Maps and cancer rate statistics can be valuable tools for spotting trends or anomalies across classifications such as geography or time.",NY State Map 2000-2004 Mortality from Breast Cancer by County,,Map
oai:ecommons.cornell.edu:1813/14487,Mortality from Breast Cancer NY State Map 1994-1998,"1994-1998 Breast Cancer Mortality Map. This color-coded map of New York State breast cancer mortality rates by county was created using data from the New York State Department of Health's Cancer Registry. Maps show age-adjusted mortality rates of breast cancer (the number of people who die from breast cancer per 100,000 individuals). Maps and cancer rate statistics can be valuable tools for spotting trends or anomalies across classifications such as geography or time.",NY State Map 1994-1998 Mortality from Breast Cancer by County,,Map
oai:ecommons.cornell.edu:1813/14488,Incidence of Breast Cancer NY State Map 1996-2000,"1996-2000 Breast Cancer Incidence Map and Table. This color-coded map and table of New York State breast cancer incidence rates by county was created using data from the New York State Department of Health's Cancer Registry. Maps show age-adjusted rates of breast cancer (the number of people who develop breast cancer per 100,000 individuals). Maps and cancer rate statistics can be valuable tools for spotting trends or anomalies across classifications such as geography or time.",NY State Map 1996-2000 Incidence of Breast Cancer by County,,Map
oai:ecommons.cornell.edu:1813/14489,Mortality from Breast Cancer NY State Map 2002-2006,"2002-2006 Breast Cancer Mortality Map. This color-coded map of New York State breast cancer mortality rates by county was created using data from the New York State Department of Health's Cancer Registry. Maps show age-adjusted mortality rates of breast cancer (the number of people who die from breast cancer per 100,000 individuals). Maps and cancer rate statistics can be valuable tools for spotting trends or anomalies across classifications such as geography or time.",NY State Map 2002-2006 Mortality from Breast Cancer by County,,Map
oai:ecommons.cornell.edu:1813/14490,Incidence of Breast Cancer NY State Map 1993-1997,"1993-1997 Breast Cancer Incidence Map and Table. This color-coded map and table of New York State breast cancer incidence rates by county was created using data from the New York State Department of Health's Cancer Registry. Maps show age-adjusted rates of breast cancer (the number of people who develop breast cancer per 100,000 individuals). Maps and cancer rate statistics can be valuable tools for spotting trends or anomalies across classifications such as geography or time.",NY State Map 1993-1997 Incidence of Breast Cancer by County,,Map
oai:ecommons.cornell.edu:1813/14491,Incidence of Breast Cancer NY State Map 1991-1995,"1991-1995 Breast Cancer Incidence Map and Table. This color-coded map and table of New York State breast cancer incidence rates by county was created using data from the New York State Department of Health's Cancer Registry. Maps show age-adjusted rates of breast cancer (the number of people who develop breast cancer per 100,000 individuals). Maps and cancer rate statistics can be valuable tools for spotting trends or anomalies across classifications such as geography or time.",NY State Map 1991-1995 Incidence of Breast Cancer by County,,Map
